ENG vs SA,May 30,,"['2019', 'txt']"
PAK vs WI,May 31,,"['2019', 'txt']"
SL vs NZ,June 01,,"['2019', 'txt']"
AFG vs AUS,June 01,,"['2019', 'txt']"
BAN vs SA,June 02,,"['2019', 'txt']"
PAK vs ENG,June 03,,"['2019', 'txt']"
SL vs AFG,June 04,,"['2019', 'txt']"
SA vs IND,June 05,,"['2019', 'txt']"
BAN vs NZ,June 05,,"['2019', 'txt']"
AUS vs WI,June 06,,"['2019', 'txt']"
Pakistan,June 07,,"['2019', 'txt']"
ENG vs BAN,June 08,,"['2019', 'txt']"
AFG vs NZ,June 08,,"['2019', 'txt']"
IND vs AUS,June 09,,"['2019', 'txt']"
SA vs WI,June 10,,"['2019', 'txt']"
Bangladesh,June 11,,"['2019', 'txt']"
AUS vs PAK,June 12,,"['2019', 'txt']"
India,June 13,,"['2019', 'txt']"
WI vs ENG,June 14,,"['2019', 'txt']"
AUS vs SL,June 15,,"['2019', 'txt']"
AFG vs SA,June 15,,"['2019', 'txt']"
IND vs PAK,June 16,,"['2019', 'txt']"
WI vs BAN,June 17,,"['2019', 'txt']"
ENG vs AFG,June 18,,"['2019', 'txt']"
SA vs NZ,June 19,,"['2019', 'txt']"
AUS vs BAN,June 20,,"['2019', 'txt']"
SL vs ENG,June 21,,"['2019', 'txt']"
IND vs AFG,June 22,,"['2019', 'txt']"
NZ vs WI,June 22,,"['2019', 'txt']"
PAK vs SA,June 23,,"['2019', 'txt']"
BAN vs AFG,June 24,,"['2019', 'txt']"
AUS vs ENG,June 25,,"['2019', 'txt']"
NZ vs PAK,June 26,,"['2019', 'txt']"
IND vs WI,June 27,,"['2019', 'txt']"
SL vs SA,June 28,,"['2019', 'txt']"
AFG vs PAK,June 29,,"['2019', 'txt']"
AUS vs NZ,June 29,,"['2019', 'txt']"
ENG vs IND,June 30,,"['2019', 'txt']"
SL vs WI,July 01,,"['2019', 'txt']"
IND vs BAN,July 02,,"['2019', 'txt']"
ENG vs NZ,July 03,,"['2019', 'txt']"
WI vs AFG,July 04,,"['2019', 'txt']"
PAK vs BAN,July 05,,"['2019', 'txt']"
SL vs IND,July 06,,"['2019', 'txt']"
SA vs AUS,July 06,,"['2019', 'txt']"
NZ vs IND,July 09 - 10,,"['2019', 'txt']"
AUS vs ENG,July 11,,"['2019', 'txt']"
NZ vs ENG,July 14,,"['2019', 'txt']"
