NZ vs SL,Christchurch,"17,228",2015
AUS vs ENG,Melbourne,"84,336",2015
SA vs ZIM,Hamilton,"8,332",2015
IND vs PAK,Adelaide,"41,587",2015
WI vs IRE,Nelson,"4,143",2015
SCOT vs NZ,Dunedin,"4,684",2015
BAN vs AFG,Canberra,"10,972",2015
UAE vs ZIM,Nelson,"2,643",2015
ENG vs NZ,Wellington,"30,148",2015
WI vs PAK,Christchurch,"14,641",2015
Australia,Brisbane,,"['2015', 'txt']"
AFG vs SL,Dunedin,"2,711",2015
IND vs SA,Melbourne,"86,876",2015
ENG vs SCOT,Christchurch,"12,388",2015
WI vs ZIM,Canberra,"5,544",2015
UAE vs IRE,Brisbane,"5,249",2015
SCOT vs AFG,Dunedin,"3,229",2015
SL vs BAN,Melbourne,"30,012",2015
SA vs WI,Sydney,"23,612",2015
AUS vs NZ,Auckland,"40,053",2015
UAE vs IND,Perth,"8,718",2015
ENG vs SL,Wellington,"18,503",2015
PAK vs ZIM,Brisbane,"9,847",2015
SA vs IRE,Canberra,"8,831",2015
PAK vs UAE,Napier,"2,850",2015
AUS vs AFG,Perth,"12,710",2015
SCOT vs BAN,Nelson,"3,491",2015
WI vs IND,Perth,"17,557",2015
PAK vs SA,Auckland,"22,713",2015
IRE vs ZIM,Hobart,"4,048",2015
AFG vs NZ,Napier,"10,022",2015
AUS vs SL,Sydney,"39,951",2015
BAN vs ENG,Adelaide,"11,963",2015
IRE vs IND,Hamilton,"10,192",2015
SL vs SCOT,Hobart,"3,466",2015
SA vs UAE,Wellington,"4,901",2015
BAN vs NZ,Hamilton,"10,347",2015
AFG vs ENG,Sydney,"9,203",2015
ZIM vs IND,Auckland,"30,076",2015
SCOT vs AUS,Hobart,"12,044",2015
UAE vs WI,Napier,"1,221",2015
IRE vs PAK,Adelaide,"9,891",2015
SL vs SA,March 18,"27,259",2015
IND vs BAN,March 19,"- 51,552",2015
PAK vs AUS,March 20,"35,516",2015
NZ vs WI,March 21,"30,268",2015
SA vs NZ,March 24,"41,279",2015
AUS vs IND,March 26,"42,330",2015
NZ vs AUS,March 29,"93,013",2015
